# EDA calibration coefficients — shifted Michaelis-Menten model (fit on raw samples)
# Forward : Raw = Rmax * max(G-G0,0) / (max(G-G0,0) + K)
# Inverse : G   = G0 + K * Raw / (Rmax - Raw)
# G0_std / K_std  : curve_fit covariance on all raw samples
# sigma_raw       : mean ADC noise floor across resistance conditions [ADC]
# G_min / G_max   : conductance at RAW thresholds [µS]
# sigma_G_*       : measurement uncertainty at G_min, G_mid, G_max [µS]
# S_*             : sensitivity dRAW/dG at G_min, G_mid, G_max [ADC/µS]
# res_*           : resolution sigma_raw/S at G_min, G_mid, G_max [µS]
# NOTE: *_min/mid/max refer to position on G axis, not metric magnitude
#       S is highest at G_min (steep); resolution is best at G_min (low res_min value)
DAC,G0,G0_std,K,K_std,Rmax,R2,RMSE,RMSE_cond,cov_G0K,N_fit,sigma_raw,status,G_min,G_max,sigma_G_min,sigma_G_mid,sigma_G_max,S_min,S_mid,S_max,res_min,res_mid,res_max
146.0,0.1575867777798473,7.588213961308158e-05,0.1624326123995557,0.00010667195960472435,8547336.84,0.9862796457861022,225327.71113783767,220477.86201562826,-5.538808099005949e-09,171000,16187.108937894734,OK,0.1635,0.8924,0.004599,0.046072,0.130662,48991802.31,4890724.46,1724509.86,0.00033,0.00331,0.009386
147.0,0.20009405882985168,0.00011424151976982429,0.20598079107223546,0.00014328227325825668,8547336.84,0.9848193542865074,224756.79288648735,216860.90405273638,-1.1845209579911638e-08,165600,19417.14330434783,OK,0.2076,1.1319,0.005818,0.058276,0.165273,38634022.11,3856734.15,1359916.33,0.000503,0.005035,0.014278
148.0,0.24874448661031334,0.0001164093557101635,0.25589311296336364,0.00016613698331979443,8547336.84,0.9866865199576542,224453.4396131336,220356.7730686022,-1.3105193381582128e-08,167400,16632.302545161285,OK,0.2581,1.4064,0.007218,0.0723,0.205043,31098400.2,3104472.57,1094662.69,0.000535,0.005358,0.015194
149.0,0.3163844730620477,0.00016510911691361205,0.3240883815346595,0.00020957454505802632,8547336.84,0.9869626020692875,210077.091221278,205782.6734377724,-2.4909147190047785e-08,162000,16632.489773333335,OK,0.3282,1.7825,0.008556,0.085703,0.243054,24554618.09,2451223.79,864321.77,0.000677,0.006785,0.019243
150.0,0.39828706857296725,0.00018106543746043328,0.4072393216878235,0.0002677992258876988,8547336.84,0.9864743116647343,230853.1687760474,219495.5209944707,-3.2222971451573895e-08,165600,26305.72670108696,OK,0.4131,2.2406,0.011814,0.118342,0.335619,19541007.0,1950728.01,687842.82,0.001346,0.013485,0.038244
151.0,0.5022346062268648,0.00025276694109931927,0.5175337349321207,0.00033052296068145336,8547336.84,0.987259727131675,210808.63468942672,202208.00774742026,-5.9292569342479586e-08,162000,16605.775517777776,OK,0.5211,2.8435,0.01371,0.137335,0.389483,15376517.31,1534997.81,541252.91,0.00108,0.010818,0.03068
152.0,0.6363635295325212,0.00026758206663643757,0.6460573758098292,0.000409909413444651,8547336.84,0.9874035650597027,226156.21195408338,213296.18673799094,-7.125046473913929e-08,165600,22915.085207608692,OK,0.6599,3.5591,0.01836,0.183922,0.521604,12317584.68,1229632.51,433578.58,0.00186,0.018636,0.052851
153.0,0.798992580165922,0.0003730822374835437,0.8295860189060238,0.0005040100441841484,8547336.84,0.9881532159759591,204472.2462201918,199410.04097102795,-1.310560294612086e-07,171000,15794.136324210525,OK,0.8292,4.552,0.021316,0.213525,0.60556,9592575.4,957601.9,337658.35,0.001646,0.016493,0.046775
154.0,1.0071092442128853,0.00041529638212160026,1.0451467005560113,0.000654132676958274,8547336.84,0.9875115220652155,228352.4434958944,219354.65925999283,-1.7172655056006776e-07,167400,22930.989222580643,OK,1.0451,5.7353,0.029991,0.300425,0.852009,7614114.3,760097.27,268016.58,0.003012,0.030168,0.085558
155.0,1.3010211931049238,0.0008208614952518383,1.3088038137535678,0.0008778816295933943,8547336.84,0.9856986272137708,201506.46179593838,187771.2168771626,-5.465770210037769e-07,153000,21375.915030588236,OK,1.3486,7.2219,0.033141,0.331984,0.941509,6080259.2,606976.49,214024.93,0.003516,0.035217,0.099876
